-335.0 , 725 , 1.0 , 0.0
-343.0 , 645 , 1.0 , 0.1
-575.8 , 567 , 1.0 , 0.2
-668.6 , 514 , 1.0 , 0.3
-738.6 , 439 , 1.0 , 0.4
-743.0 , 395 , 1.0 , 0.5
-804.4 , 356 , 1.0 , 0.6
-837.4 , 326 , 1.0 , 0.7
-855.8 , 292 , 1.0 , 0.8
-779.6 , 254 , 1.0 , 0.9
-777.6 , 224 , 1.0 , 1.0
-292.2 , 653 , 1.1 , 0.0
-321.8 , 582 , 1.1 , 0.1
-621.2 , 513 , 1.1 , 0.2
-693.2 , 468 , 1.1 , 0.3
-729.8 , 402 , 1.1 , 0.4
-706.2 , 363 , 1.1 , 0.5
-787.0 , 330 , 1.1 , 0.6
-814.8 , 302 , 1.1 , 0.7
-852.6 , 274 , 1.1 , 0.8
-783.4 , 241 , 1.1 , 0.9
-756.2 , 213 , 1.1 , 1.0
-257.2 , 603 , 1.2 , 0.0
-183.0 , 545 , 1.2 , 0.1
-421.6 , 484 , 1.2 , 0.2
-498.6 , 439 , 1.2 , 0.3
-532.2 , 378 , 1.2 , 0.4
-505.4 , 346 , 1.2 , 0.5
-681.2 , 313 , 1.2 , 0.6
-739.0 , 285 , 1.2 , 0.7
-769.0 , 260 , 1.2 , 0.8
-736.8 , 232 , 1.2 , 0.9
-726.8 , 207 , 1.2 , 1.0
-309.4 , 556 , 1.3 , 0.0
-227.2 , 503 , 1.3 , 0.1
-470.2 , 448 , 1.3 , 0.2
-536.8 , 407 , 1.3 , 0.3
-551.6 , 359 , 1.3 , 0.4
-507.2 , 328 , 1.3 , 0.5
-745.4 , 296 , 1.3 , 0.6
-765.6 , 269 , 1.3 , 0.7
-762.6 , 249 , 1.3 , 0.8
-720.2 , 223 , 1.3 , 0.9
-697.6 , 199 , 1.3 , 1.0
-72.0 , 505 , 1.4 , 0.0
-63.8 , 462 , 1.4 , 0.1
-283.4 , 416 , 1.4 , 0.2
-397.4 , 376 , 1.4 , 0.3
-406.6 , 334 , 1.4 , 0.4
-389.4 , 306 , 1.4 , 0.5
-607.2 , 278 , 1.4 , 0.6
-639.6 , 254 , 1.4 , 0.7
-639.0 , 235 , 1.4 , 0.8
-681.4 , 211 , 1.4 , 0.9
-703.4 , 191 , 1.4 , 1.0
-29.2 , 483 , 1.5 , 0.0
-23.4 , 441 , 1.5 , 0.1
-247.6 , 399 , 1.5 , 0.2
-351.4 , 361 , 1.5 , 0.3
-350.2 , 323 , 1.5 , 0.4
-300.4 , 296 , 1.5 , 0.5
-543.0 , 270 , 1.5 , 0.6
-580.4 , 246 , 1.5 , 0.7
-592.2 , 228 , 1.5 , 0.8
-632.0 , 205 , 1.5 , 0.9
-654.0 , 185 , 1.5 , 1.0
157.4 , 449 , 1.6 , 0.0
145.8 , 408 , 1.6 , 0.1
-65.4 , 371 , 1.6 , 0.2
-203.6 , 339 , 1.6 , 0.3
-189.8 , 302 , 1.6 , 0.4
-154.6 , 279 , 1.6 , 0.5
-406.6 , 259 , 1.6 , 0.6
-453.8 , 237 , 1.6 , 0.7
-465.6 , 219 , 1.6 , 0.8
-542.6 , 199 , 1.6 , 0.9
-559.6 , 179 , 1.6 , 1.0
223.0 , 405 , 1.7 , 0.0
214.2 , 367 , 1.7 , 0.1
-81.4 , 336 , 1.7 , 0.2
-201.8 , 307 , 1.7 , 0.3
-207.0 , 280 , 1.7 , 0.4
-173.8 , 262 , 1.7 , 0.5
-318.0 , 245 , 1.7 , 0.6
-360.2 , 223 , 1.7 , 0.7
-376.6 , 209 , 1.7 , 0.8
-476.0 , 190 , 1.7 , 0.9
-502.8 , 172 , 1.7 , 1.0
296.8 , 368 , 1.8 , 0.0
290.6 , 331 , 1.8 , 0.1
-14.6 , 304 , 1.8 , 0.2
-117.2 , 278 , 1.8 , 0.3
-131.8 , 257 , 1.8 , 0.4
-103.4 , 241 , 1.8 , 0.5
-230.0 , 225 , 1.8 , 0.6
-279.6 , 204 , 1.8 , 0.7
-308.4 , 191 , 1.8 , 0.8
-350.2 , 173 , 1.8 , 0.9
-369.4 , 156 , 1.8 , 1.0
389.8 , 348 , 1.9 , 0.0
348.8 , 313 , 1.9 , 0.1
66.2 , 287 , 1.9 , 0.2
-53.6 , 264 , 1.9 , 0.3
-80.4 , 246 , 1.9 , 0.4
-22.0 , 230 , 1.9 , 0.5
-138.6 , 214 , 1.9 , 0.6
-128.2 , 193 , 1.9 , 0.7
-217.0 , 180 , 1.9 , 0.8
-263.6 , 164 , 1.9 , 0.9
-287.8 , 147 , 1.9 , 1.0
298.0 , 330 , 2.0 , 0.0
302.4 , 299 , 2.0 , 0.1
14.8 , 273 , 2.0 , 0.2
-97.4 , 251 , 2.0 , 0.3
-124.2 , 233 , 2.0 , 0.4
-113.2 , 218 , 2.0 , 0.5
-224.6 , 204 , 2.0 , 0.6
-214.0 , 185 , 2.0 , 0.7
-290.2 , 173 , 2.0 , 0.8
-381.8 , 157 , 2.0 , 0.9
-415.8 , 142 , 2.0 , 1.0
