expire_date, option_name, open_price, high_price, close_price, etf_open, etf_high, etf_low, etf_close
2016-9-28,510050C1609M02250,0.0015,0.0015,0.0001,2.231,2.232,2.218,2.219
2017-2-22,510050C1702M02400,0.0024,0.0035,0.0001,2.393,2.398,2.388,2.396
2015-6-24,510050P1506M02550,0.0001,0.0018,0.0001,2.99,3.03,2.92,3.018
2015-6-24,510050P1506M02850,0.002,0.002,0.0001,2.99,3.03,2.92,3.018
2015-6-24,510050P1506M02900,0.0036,0.0036,0.0001,2.99,3.03,2.92,3.018
2015-6-24,510050P1506M02950,0.0138,0.0198,0.0001,2.99,3.03,2.92,3.018
2015-6-24,510050C1506M03100,0.0009,0.0014,0.0001,2.99,3.03,2.92,3.018
2015-3-25,510050P1503M02600,0.0031,0.0185,0.0005,2.63,2.649,2.582,2.604
2015-3-25,510050C1503M02650,0.0107,0.0116,0.0001,2.63,2.649,2.582,2.604
2016-4-27,510050C1604M02150,0.0093,0.0106,0.0001,2.153,2.156,2.14,2.144
2017-8-23,510050P1708M02700,0.016,0.0161,0.0001,2.689,2.721,2.686,2.708
2016-1-27,510050C1601M02000,0.003,0.005,0.0001,1.965,1.975,1.918,1.957
2016-1-27,510050P1601M01950,0.01,0.027,0.0009,1.965,1.975,1.918,1.957
2016-1-27,510050P1601M01900,0.0011,0.0044,0.0001,1.965,1.975,1.918,1.957
2017-11-22,510050C1711M03100,0.0033,0.0069,0.0001,3.055,3.094,3.046,3.067
2016-3-23,510050C1603M02200,0.0032,0.0063,0.0001,2.164,2.186,2.154,2.171
2016-3-23,510050P1603M02150,0.0052,0.0071,0.0001,2.164,2.186,2.154,2.171
2017-5-24,510050C1705M02400,0.0043,0.0065,0.0006,2.401,2.406,2.379,2.399
2017-5-24,510050P1705M02400,0.0078,0.0178,0.0002,2.401,2.406,2.379,2.399
2016-11-23,510050P1611M02400,0.0035,0.0035,0.0001,2.409,2.431,2.404,2.415
2015-12-23,510050C1512M02550,0.0013,0.0025,0.0001,2.49,2.545,2.485,2.499
2015-12-23,510050C1512M02500,0.0111,0.0329,0.0002,2.49,2.545,2.485,2.499
2015-12-23,510050P1512M02450,0.0025,0.0049,0.0001,2.49,2.545,2.485,2.499
2015-9-23,510050C1509M02200,0.032,0.032,0.0001,2.194,2.22,2.177,2.18
2015-9-23,510050C1509M02250,0.004,0.0073,0.0001,2.194,2.22,2.177,2.18
2015-9-23,510050P1509M02150,0.002,0.003,0.0001,2.194,2.22,2.177,2.18
2017-7-26,510050P1707M02650,0.0009,0.002,0.0001,2.682,2.705,2.66,2.677
2017-7-26,510050C1707M02700,0.0029,0.0081,0.0001,2.682,2.705,2.66,2.677
2015-10-28,510050P1510M02300,0.003,0.003,0.0009,2.338,2.341,2.305,2.308
2015-10-28,510050C1510M02350,0.0094,0.0094,0.0001,2.338,2.341,2.305,2.308
2017-10-25,510050C1710M02800,0.0081,0.0102,0.0003,2.805,2.809,2.798,2.802
2017-10-25,510050P1710M02800,0.0062,0.0064,0.0001,2.805,2.809,2.798,2.802
2016-5-25,510050C1605M02100,0.0005,0.0018,0.0001,2.076,2.085,2.071,2.074
2018-2-28,510050C1802M02900,0.0175,0.0175,0.0001,2.898,2.902,2.858,2.871
2018-2-28,510050C1802M02950,0.0038,0.0038,0.0001,2.898,2.902,2.858,2.871
2018-2-28,510050P1802M02800,0.001,0.0015,0.0001,2.898,2.902,2.858,2.871
2018-2-28,510050P1802M02850,0.0056,0.0106,0.0001,2.898,2.902,2.858,2.871
2015-7-22,510050C1507M02750,0.023,0.023,0.0001,2.755,2.77,2.72,2.737
2015-7-22,510050C1507M02800,0.0053,0.0069,0.0001,2.755,2.77,2.72,2.737
2015-7-22,510050C1507M02850,0.0004,0.002,0.0001,2.755,2.77,2.72,2.737
2015-7-22,510050P1507M02650,0.0005,0.0099,0.0001,2.755,2.77,2.72,2.737
2015-7-22,510050P1507M02700,0.005,0.005,0.0005,2.755,2.77,2.72,2.737
2017-9-27,510050C1709M02700,0.0305,0.0305,0.0009,2.73,2.73,2.71,2.711
2017-9-27,510050C1709M02750,0.002,0.002,0.0001,2.73,2.73,2.71,2.711
2016-6-22,510050P1606M02100,0.0024,0.0031,0.0001,2.11,2.126,2.106,2.124
2015-11-25,510050P1511M02400,0.002,0.002,0.0001,2.435,2.459,2.423,2.454
2015-11-25,510050C1511M02450,0.0074,0.0094,0.0005,2.435,2.459,2.423,2.454
2015-11-25,510050P1511M02450,0.0199,0.0249,0.0001,2.435,2.459,2.423,2.454
2015-5-27,510050P1505M02800,0.0021,0.0021,0.0001,3.334,3.351,3.266,3.285
2015-5-27,510050P1505M03200,0.0015,0.002,0.0001,3.334,3.351,3.266,3.285
2015-5-27,510050C1505M03300,0.055,0.055,0.0001,3.334,3.351,3.266,3.285
2015-5-27,510050C1505M03400,0.0063,0.0069,0.0001,3.334,3.351,3.266,3.285
2015-5-27,510050C1505M03500,0.0012,0.0012,0.0001,3.334,3.351,3.266,3.285
2017-1-25,510050P1701A02400,0.0028,0.0056,0.0001,2.351,2.36,2.345,2.357
2017-1-25,510050P1701M02350,0.0045,0.0064,0.0001,2.351,2.36,2.345,2.357
2016-2-24,510050C1602M02050,0.0046,0.007,0.0001,2.024,2.043,2.009,2.039
2016-2-24,510050P1602M02000,0.0034,0.0043,0.0001,2.024,2.043,2.009,2.039
2017-3-22,510050C1703A02400,0.006,0.006,0.0001,2.345,2.349,2.329,2.336
2017-3-22,510050C1703M02350,0.0026,0.0044,0.0001,2.345,2.349,2.329,2.336
2017-4-26,510050C1704M02350,0.0014,0.0056,0.0001,2.342,2.356,2.339,2.339
2017-12-27,510050C1712A02900,0.0467,0.0467,0.0001,2.888,2.893,2.827,2.834
2017-12-27,510050C1712A02950,0.0091,0.0091,0.0001,2.888,2.893,2.827,2.834
2017-12-27,510050C1712M02850,0.0437,0.044,0.0001,2.888,2.893,2.827,2.834
2017-12-27,510050C1712M02900,0.0079,0.008,0.0002,2.888,2.893,2.827,2.834
2016-12-28,510050C1612A02350,0.0039,0.0048,0.0001,2.287,2.293,2.272,2.278
2016-12-28,510050C1612M02300,0.0045,0.0064,0.0001,2.287,2.293,2.272,2.278
2016-7-27,510050P1607M02200,0.0004,0.0229,0.0001,2.228,2.232,2.172,2.215
2015-8-26,510050C1508M02000,0.01,0.0266,0.0001,1.939,2.034,1.879,1.946
2015-8-26,510050C1508M02050,0.0019,0.0035,0.0001,1.939,2.034,1.879,1.946
2015-8-26,510050P1508M01950,0.0481,0.0921,0.0009,1.939,2.034,1.879,1.946
2015-8-26,510050P1508M01800,0.0089,0.0198,0.0001,1.939,2.034,1.879,1.946
2015-8-26,510050P1508M01850,0.0154,0.032,0.0001,1.939,2.034,1.879,1.946
2015-8-26,510050P1508M01900,0.0322,0.051,0.0001,1.939,2.034,1.879,1.946
2016-8-24,510050C1608M02300,0.0047,0.0059,0.0001,2.292,2.301,2.274,2.28
2017-6-28,510050C1706M02550,0.0134,0.0192,0.0003,2.558,2.57,2.547,2.548
2017-6-28,510050P1706M02550,0.0037,0.0066,0.0007,2.558,2.57,2.547,2.548
2015-4-22,510050P1504M02850,0.0019,0.0019,0.0001,3.171,3.248,3.147,3.241
2015-4-22,510050P1504M03100,0.0047,0.0047,0.0001,3.171,3.248,3.147,3.241
2015-4-22,510050P1504M03200,0.0572,0.0572,0.0004,3.171,3.248,3.147,3.241
2018-1-24,510050C1801A03300,0.0019,0.003,0.0001,3.184,3.195,3.146,3.172
2018-1-24,510050P1801A03200,0.0022,0.0137,0.0001,3.184,3.195,3.146,3.172
2018-1-24,510050P1801M03100,0.001,0.0024,0.0001,3.184,3.195,3.146,3.172
2018-1-24,510050C1801M03200,0.011,0.0153,0.0001,3.184,3.195,3.146,3.172
