stock_code,trading_day,buy_price,profit_yield
000014.SZ,2018-04-02,11.92,0.00838926174497
002699.SZ,2018-07-25,18.28,-0.0377461706783
002828.SZ,2018-05-08,14.0529,0.027631307417
002828.SZ,2018-05-11,14.9176,-0.0189239555961
002881.SZ,2018-05-02,19.0882,0.244376106705
300561.SZ,2018-04-16,21.8498,-0.0891175205265
300630.SZ,2018-03-30,51.6267,0.0763170994853
300633.SZ,2018-04-03,31.01,0.0270880361174
300686.SZ,2018-04-16,15.65,-0.0211629392971
300705.SZ,2018-03-26,15.105,0.185369083085
300705.SZ,2018-03-28,18.215,0.061762283832
300735.SZ,2018-05-30,21.98,-0.00272975432211
600536.SH,2018-04-03,16.744,0.0388198757764
603336.SH,2018-03-29,19.9154,0.157586591281
603520.SH,2018-06-06,28.6,-0.127972027972
